user_country,source,content,date
"Plymouth, Ma",Twitter for iPad,"@KamalaHarris @JoeBiden Good Luck Joe, you were made for this! ❤️👊🏼",2020-09-29T23:59:59+00:00
FL MI PR🇵🇷 MEX🇲🇽 USA🇺🇸,Twitter for Android,@JoeBiden @KamalaHarris YOU NEVER HELPED US BEFORE WHAT MAKES YOU THINK WE'LL BELIEVE YOU NOW? ALL TALK NO ACTION. YOU'RE A CORRUPT POLITICIAN!!!,2020-09-29T23:59:59+00:00
United States’ Midwest,Twitter for iPhone,@KamalaHarris @JoeBiden I hope he keeps Trollnald against the ropes and takes no fucking prisoners!!!,2020-09-29T23:59:59+00:00
"Georgia, USA",Twitter for iPhone,@JoeBiden Go get em @JoeBiden   Thank you for all you and @KamalaHarris are doing for our country.,2020-09-29T23:59:59+00:00
New York State,Twitter for Android,@KamalaHarris @JoeBiden You've got this Joe!  Fight for all of us!!!,2020-09-29T23:59:58+00:00
"Eugene, OR",Twitter for Android,"@KamalaHarris @Peach656 @JoeBiden Don't let him rattle you or dominate your time, Joe! Stand up for democracy, empathy, good faith, and respectful governance for all Americans, and we will hear your message. I will show up at the ballot box for America, and I am showing up to vote for you and Senator Harris.",2020-09-29T23:59:58+00:00
"earth, the USA",Twitter for iPhone,@KamalaHarris @JoeBiden Good luck Joe!!!!!,2020-09-29T23:59:58+00:00
,Twitter for iPhone,@KamalaHarris @JoeBiden Good luck @JoeBiden!  You’ll do great. The fate of the free world depends on it.,2020-09-29T23:59:57+00:00
,Twitter Web App,"@KamalaHarris @JoeBiden More than plenty of us, in front of TV and on social media, will be there right by you to face trump. We are stronger than he has ever been.",2020-09-29T23:59:57+00:00
,rankstr.com,"NBC News: Biden, Harris release 2019 tax returns ahead of first debate...  https://t.co/ZJz3rbDzwq https://t.co/2jtLRIZFMk",2020-09-29T23:59:57+00:00
"Huntsville, AL",Twitter for iPhone,@JoeBiden @KamalaHarris Wake up every morning. Ha.,2020-09-29T23:59:56+00:00
,Twitter Web App,Kamala Harris calls late Ruth Bader Ginsburg the 'Notorious B.I.G.' https://t.co/8qczuYa1gQ via @nypost   How juvenile!,2020-09-29T23:59:55+00:00
White Sands,Twitter Web App,"@Weinsteinlaw @JoeBiden @BarackObama @KamalaHarris I want to outdo little Mikey...how do I donate $750,000? Send reply to @you’reaPOS",2020-09-29T23:59:55+00:00
,Twitter for iPad,"@SenKamalaHarris Oh and by the way Ms Harris Breonna Taylor you will find was being watched for drug dealing by the FBI but they didn’t want to embarrass the family, officers were shot at first, warrants were out for drug houses that night. Stop lying read the 10 Commandments",2020-09-29T23:59:54+00:00
"Roanoke, VA",Twitter for iPad,@leoniehaimson @lauranbowman @JoeBiden @KamalaHarris @TeamJoe @DianeRavitch @Network4pubEd @NEAToday @palan57 @deutsch29blog Toxic,2020-09-29T23:59:54+00:00
Tokyo Japan,Twitter for iPhone,"@KamalaHarris @JoeBiden Stay cool and fact check the mf. Don’t let him ramble. Don’t let him play it down. Whenever he starts playing things down, ask him if he’s playing it down again. If he says yes, nail him with 200,000 reasons and counting, if he says no, drill facts relentlessly! YOU GOT HIM JOE!",2020-09-29T23:59:53+00:00
"North Port, Florida",Twitter for iPad,@KamalaHarris @JoeBiden Absolutely,2020-09-29T23:59:53+00:00
,Twitter for iPhone,@KamalaHarris @JoeBiden 💙💙💪🇺🇸 just remember trump is a nasty little boy. We love ya Joe,2020-09-29T23:59:53+00:00
London,Twitter for iPad,"@KamalaHarris @JoeBiden Good Luck, Joe! #RidenWithBiden #BidenHarris2020 #KHive https://t.co/BRXSC9WmzB",2020-09-29T23:59:52+00:00
,Twitter Web App,"@KamalaHarris @JoeBiden I hope future President Biden calls out all of Trump's lies and forces him to state the facts. Expose him for the liar that he is. Also, the disaster of the (non) response to Covid needs to be hammered! Good luck, Joe!",2020-09-29T23:59:52+00:00
,Twitter for Android,@KamalaHarris @JoeBiden Win it for us,2020-09-29T23:59:52+00:00
,Twitter Web App,Black Pastors Team Up To Slam Kamala Harris For Praising The ‘Brilliance’ Of Black Lives Matter Founders https://t.co/QfjtPolxCd via @TPInsidr,2020-09-29T23:59:52+00:00
United States Of America,Twitter for iPhone,@JoeBiden @KamalaHarris How are you going to do that when you’re going to close the country down because of the fake #’s virus?  The dem governors &amp; mayors are killing the middle class.,2020-09-29T23:59:52+00:00
"New York, USA",Twitter for iPhone,@KamalaHarris @JoeBiden Clinton involved in the biggest scandal in US history! https://t.co/1n2vE2REcX,2020-09-29T23:59:51+00:00
,Twitter for Android,@JoeBiden @KamalaHarris We love you Joe.  GOT MY TICKET. I'M ON BOARD. I'M HELL BOUND FOR VICTORY. RIDEN THIS TRAIN. #RidinWithBidenHarris https://t.co/mBTsVkIJSL,2020-09-29T23:59:51+00:00
CT,Twitter for Android,@KamalaHarris @JoeBiden So which part is decent.. opposing segregation because it would lead to a Racial Jungle part or the if you don't vote for Joe you ain't black part?,2020-09-29T23:59:51+00:00
shoe closet,Twitter for Android,"@OkiesweetieDeb @WordsDawn @MauraRolls @princessamiira @Empath_g_app @thesaucyliberal @doxie53 @LanceUSA70 @JoeBiden @KamalaHarris @Tenda38 @SARA2001NOOR @CosmicActorVist @zimraniaxy @cms36 @radio_martin @WifeySpice90 @Persiflage77 @jacketrose86 @Dadilicious2 @PlumptyTrumpty @fake_biden @LocolopezNYC @Fix8d2020 @TimbosRoses1 @blainekell6 @IndieAgitator @fireman452a @drodvik52 @Djangomydog @DJZJCZ @2_mke @Scott_5D @Back_dafucup @bfosterls7 @davematt88 @BagdMilkSoWhat @Mystiqu49215835 @GlynisByrd @gallagher101guy @BoogidFfskw2002 @mom_bubble @mcgee42085 @JK4Florida @sonofnels @JollyMollyRoger @jpierni @joncoopertweets @KuhelJr @richardmarx OK, I read that so wrong. https://t.co/m4WXyU7T3M",2020-09-29T23:59:50+00:00
"Jaipur, India",WordPress.com,Biden and Harris release tax returns before debate https://t.co/eADPEXAw8g,2020-09-29T23:59:50+00:00
,Twitter for Android,@Lakecrazy @ScottAdamsSays This is a Harris campaign.  She's the puppet,2020-09-29T23:59:49+00:00
"Arizona, USA",Twitter Web App,@mblctz @SKMorefield @JoeBiden @KamalaHarris Thise countries deserve statehood?  You are so confused.,2020-09-29T23:59:49+00:00
,Twitter for iPhone,@KamalaHarris @JoeBiden We’re with ya Joe!  Good luck,2020-09-29T23:59:49+00:00
,Twitter for iPhone,@Yamiche @JoeBiden @DrBiden @KamalaHarris @DouglasEmhoff ......verified True and Complete by independent audit I suppose?  Smells fishy like Pelosi being a Catholic.,2020-09-29T23:59:49+00:00
Northern California,Twitter for iPhone,@KamalaHarris @JoeBiden Best wishes. We are with you!,2020-09-29T23:59:48+00:00
"Ocean, NJ",Twitter for Android,"@KamalaHarris @JoeBiden Best wishes, Joe. Give him hell.",2020-09-29T23:59:48+00:00
,Twitter for iPhone,@KamalaHarris @JoeBiden Put that Orange Abomination in his place - Go get ‘em Joe!,2020-09-29T23:59:48+00:00
,Twitter for Android,"@KamalaHarris @JoeBiden Dominate and Annihilate trump, Joe aka 46 🇺🇲 #BidenHarris2020 #WinningTeam #PresidentialDebate #TrumpTaxReturns #TrumpHatesOurMilitary #TrumpKnew #TrumpLiedPeopleDied  GO JOE 📣🗳️👏👏🌊🌊🌊🌊🌊🌊",2020-09-29T23:59:47+00:00
"Warren, OH",Twitter for Android,@KamalaHarris @JoeBiden Thank you #NotGoingToBePresident @KamalaHarris   #Trump2020  @realDonaldTrump,2020-09-29T23:59:47+00:00
"Perris & La Habra, CA",Twitter for iPhone,@JoeBiden @KamalaHarris “WE”? She got less than 2% on her own and is hanging on to you to pull her across the line. Will you call a lid on your campaign before Election Day? We the Left allow you to quit?,2020-09-29T23:59:47+00:00
,Twitter for iPhone,@TheLastRefuge2 @SidneyPowell1 Bingo! Can you imagine a scenario where Russia or any of our enemies would prefer a pro-American pro-military Trump presidency to Biden Harris Hillary Obama?!?!? No ^%}#%ing way!! https://t.co/tKy1Zw5GbG,2020-09-29T23:59:46+00:00
United States and Canada,Twitter for Android,@KamalaHarris @JoeBiden Good luck! https://t.co/ZvG6AuOF5s,2020-09-29T23:59:46+00:00
,Twitter for iPhone,@KamalaHarris @JoeBiden Good luck Joe,2020-09-29T23:59:46+00:00
,Twitter for Android,"@KamalaHarris @JoeBiden Good luck, Mr. President 2020! We 💙 you and Kamala! SAVE OUR COUNTRY, Y'ALL!",2020-09-29T23:59:46+00:00
Hogwarts ❤️ Robots ❤️ Animals ,Twitter Web App,@Doh_Doh_Burrd @CarlyJA22 @RosannaPhillip @Roseymelhill @GOPcanSUCKit @thesaucyliberal @doxie53 @LanceUSA70 @JoeBiden @KamalaHarris @Tenda38 @SARA2001NOOR @CosmicActorVist @cms36 @radio_martin @WifeySpice90 @Persiflage77 @jacketrose86 @Dadilicious2 @PlumptyTrumpty @fake_biden @LocolopezNYC @Fix8d2020 @TimbosRoses1 @blainekell6 @IndieAgitator @fireman452a @drodvik52 @Djangomydog @DJZJCZ @2_mke @Scott_5D @Back_dafucup @bfosterls7 @davematt88 @BagdMilkSoWhat @ghost_kitty @KevinSixx13 @Steph_is_salty @StillNoFuqs @ReggaeShark12 @ReSista_Barb @Empath_g_app @lmakowski3 @co_rapunzel4 @eddsmitty @mama_hipster @zazzybritches @Ziggiezaggie @KenobiCheated Both my faves,2020-09-29T23:59:45+00:00
,Twitter Web App,"100% Fed Up reports, Kamala Harris spoke out last week on what she calls the “protests” that have been going on over the past months across America. According to her, the violence, deaths, looting, destruction, and anarchy are apparently necessary for the “evolution” of America.",2020-09-29T23:59:45+00:00
West 😎 Coast,Twitter for iPad,@JoeBiden @KamalaHarris You wake up every morning and you’re down for the count before noon.,2020-09-29T23:59:45+00:00
"Oakland Park, FL",Twitter for iPhone,@KamalaHarris @JoeBiden Go get him Joe!,2020-09-29T23:59:44+00:00
,Twitter Web App,"@Phreadys Yes, require expensive smart energy..built by companies owned by friends and family..Biden has political favors to repay..as does Harris, her ""tail feathers"" are getting old.",2020-09-29T23:59:44+00:00
,Twitter for iPhone,@KamalaHarris The Democrat party has become unrecognizable.  I won’t vote be voting for the party of anarchy. https://t.co/VVNdJqbbVl,2020-09-29T23:59:43+00:00
United States of America,Twitter for Android,@KamalaHarris @JoeBiden Go get him! Mr VP soon to be President Elect!,2020-09-29T23:59:42+00:00
Near Philadelphia PA ,Twitter for iPhone,@KamalaHarris @JoeBiden Godspeed Joe!  You are on the side of truth!  Bring back our America.,2020-09-29T23:59:42+00:00
,Twitter for iPad,"@TheRock @JoeBiden @KamalaHarris U like late term abortions? Sad very sad, watch how the child fights, no 1, but no 1 has a right 2 do this &amp;as a woman u should think about it b4 u have sex, but if it happens give it to a loving couple who can’t have child. The child fights, rips spine, etc 🤬",2020-09-29T23:59:42+00:00
C8H10N4O2,Twitter for Android,"@SmithLadyboss @JoeBiden @KamalaHarris Yup, Pretty good allegory for where America is headed under our current leadership.",2020-09-29T23:59:42+00:00
,Twitter for iPhone,"@KamalaHarris @JoeBiden If he wants to win,  he needs to attack and keep grinding the taxes",2020-09-29T23:59:42+00:00
"South Prairie, WA",Twitter for iPhone,@JJohnsonLaw @KamalaHarris @JoeBiden Go Get Him Joe💙💙💙💙💙,2020-09-29T23:59:42+00:00
"Oregon, USA",Twitter for iPhone,@Cece57938158 @RealSteveCox @JoeBiden @KamalaHarris Why are you defending the people who wrote the laws that allowed Trump to not pay taxes.,2020-09-29T23:59:42+00:00
Mississippi & Wisconsin,Twitter for iPhone,@JoeBiden @KamalaHarris Back the Blue,2020-09-29T23:59:41+00:00
,Twitter for Android,@JoeBiden @KamalaHarris Start helping US now,2020-09-29T23:59:41+00:00
"Ohio, USA",Twitter Web App,"@KamalaHarris @JoeBiden I'll be surprised if he gets through it, let alone two more.",2020-09-29T23:59:41+00:00
,Twitter for Android,"@The19thChamber @MessCalledJess @RealKHiveQueenB Too bad that bone doesn't say CNN, Biden, Harris, or Clinton on it. Otherwise I don't see them biting.",2020-09-29T23:59:41+00:00
The Previously US of A,Twitter for iPhone,@CoffeeAndPandas @JoeBiden @KamalaHarris Oooooh...I love!,2020-09-29T23:59:41+00:00
,Twitter for iPhone,@JoeBiden @KamalaHarris Good luck Joe,2020-09-29T23:59:39+00:00
Tlaxcalteca now in Ohlone Land.                                ,Tweetbot for iΟS,@KamalaHarris @JoeBiden Knock him out.  Do it for us.,2020-09-29T23:59:39+00:00
the world is my dojo,Twitter for iPhone,"@JoeBiden @KamalaHarris A true American would uphold the constitutional ban on classes and titles of nobility. Your statement tells me that you plan to break the supreme law of the land at every opportunity rather than defend it, thereby making you ineligible to serve in public office.",2020-09-29T23:59:39+00:00
Unites States of America,Twitter Web App,"@TheConsciousLee Perhaps you can explain to the masses how (wealthy people's) taxes *really* work.  Here's @KamalaHarris's for an example. I'm sure you know how to read the forms. Get after it, bud. https://t.co/XV2stKKoUV https://t.co/JUk77qaLvA",2020-09-29T23:59:39+00:00
PNW,Twitter for Android,@JoeBiden @KamalaHarris Mornings start before noon sniffy.,2020-09-29T23:59:39+00:00
"Lincoln, NE",Twitter for Android,@KamalaHarris @JoeBiden Not that you need it...good luck!,2020-09-29T23:59:38+00:00
United States,Twitter for iPhone,@JoeBiden @KamalaHarris Insert “in China” behind each listed item to see the truth. https://t.co/X8uDYi0IMn,2020-09-29T23:59:38+00:00
wherever God puts me,Twitter for Android,@NahBabyNah @barblmurphy @KamalaHarris Well her skills usually dont end up on tax returns,2020-09-29T23:59:37+00:00
USA,Twitter Web App,@JoeBiden @KamalaHarris Or suing Rudy Giuliani for that matter.,2020-09-29T23:59:37+00:00
"Los Angeles, CA",Twitter for iPhone,"@KamalaHarris @JoeBiden Go get him, Joe!  🎉🎉🎉",2020-09-29T23:59:37+00:00
,Twitter for iPhone,@KamalaHarris RBG didn’t create any of that. And she was usually on the losing side of court votes.,2020-09-29T23:59:37+00:00
,Twitter for iPhone,@JoeBiden @KamalaHarris 50 years in politics and now you’re finally ready to fight for us? Sure ya are joe...,2020-09-29T23:59:36+00:00
,Twitter for iPad,"@KamalaHarris @JoeBiden Joe, you got this.",2020-09-29T23:59:36+00:00
,Twitter for Android,@KamalaHarris @JoeBiden Great success tonight!! Crush the bastard!!,2020-09-29T23:59:36+00:00
,Twitter for iPhone,@KamalaHarris @JoeBiden Go Joe,2020-09-29T23:59:36+00:00
"Maryland, USA",Twitter for iPhone,"@KamalaHarris @JoeBiden Hey Joe!!! We’ve got your back! Bring the “Good Trouble!” Keep your cool, but bring the fire! You got this! (Already voted for you and Kamala!!!!)",2020-09-29T23:59:36+00:00
,Twitter for iPhone,@RhondaResist @autismfamily01 @KamalaHarris @Bls1022 @JoeBiden Fake News. You Dems ever stop lying,2020-09-29T23:59:35+00:00
New York City,Twitter Web App,@KamalaHarris @JoeBiden Let's Retire Trump on Nov 3,2020-09-29T23:59:35+00:00
,Twitter Web App,"@KamalaHarris @JoeBiden We have every right to know what he’s being dosed up with. Jill said he’s had 3 strokes, sounds like he should be disqualified to run👍",2020-09-29T23:59:35+00:00
"Jacksonville, Florida",Twitter for iPhone,@JoeBiden @KamalaHarris I trust Joe Biden and Kamala Harris to their best by us.,2020-09-29T23:59:34+00:00
"Lawrenceville, NJ",Twitter for iPad,@KamalaHarris @JoeBiden Good luck Joe- but you really don’t need it-you’ll be great ❤️.,2020-09-29T23:59:34+00:00
"Anne Arundel County, Maryland",Twitter for iPhone,@KamalaHarris @JoeBiden You got this Joe!,2020-09-29T23:59:34+00:00
