user_country,source,content,date
"New York City, USA",Twitter Web App,"@WildPalmsLtd But it goes way beyond the lopsided &amp; unfair tax system. Trump is about tax fraud, bank fraud, insurance fraud, money laundering. He's just a stone cold crook. There are loopholes and there are CRIMES.",2020-09-29T23:59:59+00:00
,Twitter for iPhone,@CRNC Blue collar guys pay their taxes.,2020-09-29T23:59:59+00:00
"Lincoln City, OR",Twitter for iPad,"@IngrahamAngle And your guy is a drug addled mob boss who commits tax fraud. So yeah, probably.",2020-09-29T23:59:59+00:00
"Fontana, CA (Tongva/Kizh land)",Twitter for iPhone,"@GPravednikov @LiamOMaraIV There IS an effect with too much money printed and distributed to the public: it could lead to inflation. That’s what taxes are for: to limit the money supply, not to pay for public goods. https://t.co/Rr6ErjJN49",2020-09-29T23:59:59+00:00
Phoenix,Twitter Web App,@betterformykids @ProjectLincoln @realDonaldTrump @JoeBiden He clearly closed loopholes on the federal tax code. How else do you explain him paying $750 in 2016 and 2017?,2020-09-29T23:59:59+00:00
,Twitter for Android,"@Lrihendry I dont care what his taxes say. If something wrong the IRS should know, I do not trust the Times to tell the truth about anything! 🙋‍♀️🙋‍♀️🙋‍♀️🙋‍♀️🙋‍♀️🙋‍♀️🙋‍♀️🙋‍♀️🙋‍♀️🇺🇸🇺🇸",2020-09-29T23:59:58+00:00
"Woodstock, GA",Twitter for iPhone,"@IngrahamAngle At least Biden isn’t a serial liar, or fine with #TrumpVirusDeathToll203K and he pays his taxes. He hasn’t committed treason and isn’t trying to avoid jail time from tax evasion. I take honesty and integrity over swamp creatures.",2020-09-29T23:59:58+00:00
SC,Twitter Web App,@Skinny8product1 @AppSame Glad you think that being a tax CHEAT is funny.,2020-09-29T23:59:57+00:00
"Nanuet, NY",Twitter Web App,"@TheRickWilson Laura, Get a new game. The president of the United States should be an articulate experienced public servant not a lying, broke, pretend billionaire who doesn't pay his taxes.",2020-09-29T23:59:57+00:00
,Twitter Web App,WILL YOU TELL US YOUR INCOME AND TAXES PAID   ??? https://t.co/tQRKJDLvPW,2020-09-29T23:59:57+00:00
,Twitter Web App,Undocumented immigrants commit crimes at tiny fraction of the rate of Trump's campaign staff &amp; pay more taxes than Trump... and yet this... https://t.co/q3qvh4KpqG,2020-09-29T23:59:57+00:00
,rankstr.com,"NBC News: Biden, Harris release 2019 tax returns ahead of first debate...  https://t.co/ZJz3rbDzwq https://t.co/2jtLRIZFMk",2020-09-29T23:59:57+00:00
"American Town, Michigan, USA",Twitter Web App,@m5nake11 @JBLuvsCeltic @CNBC No one's talking about state tax.,2020-09-29T23:59:57+00:00
STANTON CALIFORNIA ,Twitter for iPhone,@shipwreckedcrew @SlowSledDog I think Clinton got trumps tax returns and they better look into it! She’s going to suffer in hell for sure! She is so evil and corrupt she should be in jail 😡,2020-09-29T23:59:56+00:00
,Twitter Web App,"@friendlyjordies Morrison right now proven to be a liar in a number of ways once again. Manufactured anti union ideology to deflect from Tudge, Cash, Ruston, Jobseeker/Keeper, tax cuts for the rich, starving the Audit Office of funds and the airport land scandal. (How's McCormacks form btw??)",2020-09-29T23:59:55+00:00
,Twitter Web App,"@Jim_Jordan We're not done with #BrokeAssTrump's taxes yet. So to whom does he owe $421MM, @jim_jordan? No US bank would touch him. If you were a true American, you would want to know that too.",2020-09-29T23:59:55+00:00
