user_country,source,content,date
ssa,Twitter for iPhone,@ianvictor69 i'll kill you - summer walker,2020-09-29T23:59:56+00:00
,Twitter Web App,"@YahooNews Yahoo's Francis stirs the pot but lays low on twitter. We either live in a country with mob ""justice"" or adhere to due process, investig and grand jurys. Walker admits to firing shot after police knocked and witness heard ""police"".Police are going to fire back and sadly BT struck",2020-09-29T23:59:42+00:00
"Toronto, Ontario",Twitter for iPhone,"Dias signing for Man City means Pep has signed 12 defenders during his stint in charge at a total of £412m.   Zinchenko, Stones, Walker, Danilo, Mendy, Garcia, Laporte, Angelino, Cancelo, Ake, Sandler, Dias.   Blimey... #mancity #defenders https://t.co/E587meCHsb",2020-09-29T23:59:36+00:00
Worldwide,Twitter for Android,Pep Guardiola has spent over £400 million on defenders at Man City 🤑  John Stones: £47.5m Benjamin Mendy: £52m Kyle Walker: £45m Aymeric Laporte: £57m Danilo: £26.5m Angelino: £11m Joao Cancelo: £60m Nathan Ake: £41m Ruben Dias: £62m https://t.co/sxJ6sWmfMV,2020-09-29T23:59:31+00:00
"California, USA",Twitter for Android,@samanthamarika1 Jameson/Johnnie Walker +🍿,2020-09-29T23:59:11+00:00
"North Massapequa, NY",Twitter for iPhone,"The circumstances are obviously different this year and yada yada, but Luke Voit’s #MLB-leading 22 HR this year was the lowest to lead the majors since Babe Ruth and Tilly Walker hit 11 HR in 1919.   Anyway, Voit just hit an RBI double, 3-0 #Yankees.  #NYYforNY",2020-09-29T23:59:04+00:00
,Twitter Web App,"@guillotin3dream @nalu_dp @nikoCSFB The evidence does NOT show the cops shot the other cop. And even WALKER admits he heard knocking! As far as what the others claim they heard or didn't hear, I haven't seen it broken down by claims of ""nothing"" or ""knock"" and supposedly ""not announce"". https://t.co/pF3pPgHS3W",2020-09-29T23:59:03+00:00
"St Petersburg, FL",Twitter for iPhone,@BrewStewFilms Uh I don’t cause walker Texas ranger was ass,2020-09-29T23:58:53+00:00
"Ladue, MO",Twitter for Android,@scpiratesoccer I see you walker! 👀,2020-09-29T23:58:49+00:00
nz,Twitter for iPhone,stan walker @1stanwalker you were in my dream today 😖🤧🤩🙈🐲,2020-09-29T23:58:46+00:00
