user_country,source,content,date
USA,Twitter Web App,Frank Luntz isn’t sure what the bombshell is in this email from Hunter Biden he doesn’t deny receiving https://t.co/UWsNOiUPva via @twitchyteam,2020-10-22T23:59:59+00:00
Portland,Twitter Web App,"I am also hoping for at least one more ""shut up"" (or something similar) from #Biden and that moderator Kristen Welker cuts #Trump's mic at least once.  #Debates2020",2020-10-22T23:59:59+00:00
"Minnesota, USA",Twitter for iPhone,Bombshell: Biden Insider Claims He Was 'Recipient of the Email'   Interesting... https://t.co/4Us9vrGqPg,2020-10-22T23:59:59+00:00
,Twitter Web App,"@michaeldweiss Sure, spend more time tweeting about Hunter Biden. What's the matter with you?",2020-10-22T23:59:59+00:00
"Florida, USA",Twitter for iPhone,So verified e-mails that were just corroborated by one of the recipients detailing Biden corruption ARE NOT REALLY STORIES?  This is a parody account! https://t.co/f5ppynwBRo,2020-10-22T23:59:59+00:00
United Kingdom,Twitter for Android,Financial Times dropping another bomb on the Bidens.  Hunter Biden’s web of interests https://t.co/aZcQlbuhJ9,2020-10-22T23:59:58+00:00
,Twitter Web App,@fdlreporter And the debate committee cancels foreign policy discussion and puts in topics favorable to Biden.,2020-10-22T23:59:58+00:00
,Twitter Web App,"Hunter Biden's former business partner is going on TV in a few minutes to explain how Joe Biden was involved with Hunter in extorting millions of dollars and collecting bribes from foreign entities: China, Ukraine, maybe others.",2020-10-22T23:59:58+00:00
nyc's lower east side,Twitter for iPhone,Why *wouldn’t* you want to vote for Biden-Harris on the WFP line? *especially* if you live in NYS.,2020-10-22T23:59:58+00:00
,Twitter Web App,@davidfrum It's over David.  Biden is a Chinese puppet.,2020-10-22T23:59:58+00:00
United States,Twitter for iPhone,@MMFlint @realDonaldTrump How long until Biden is forced to step down? I believe the walls are closing in,2020-10-22T23:59:58+00:00
"North Dakota, USA",Twitter for Android,"@medcop2001 @VineyardRobin @glennkirschner2 Trump opened the possibility of Biden being on drugs, so that strongly suggests that's his thing. His behavior has been so crazy recently that seems very logical that there are drugs involved.",2020-10-22T23:59:58+00:00
,Twitter for iPhone,BREAKING:  Tony Bobulinski will announce that he will turn his electronic devices and records of business dealings with Hunter and Joe Biden over to the FBI,2020-10-22T23:59:58+00:00
global,Twitter Web App,@sbg1 For God Sake.................. did you notice Biden being incoherent most of then time?,2020-10-22T23:59:57+00:00
,Twitter for iPad,"Hot take: the longer this Biden scandal goes on, the less likely people will be to cheat in the election.  Some may view the risk of committing voter fraud low, if your candidate is going to win and control the DOJ. Will people now risk jail time for Biden?",2020-10-22T23:59:57+00:00
"Seattle, WA",Twitter for iPhone,"@neural_fault Me too, and I hope Biden just continues uninterrupted and Trump runs back bedside he won’t be able to handle real strength 😉",2020-10-22T23:59:57+00:00
,Twitter for iPhone,@ProjectLincoln @zelley Google search: “Three Red Banners” from the “E” in Biden logo. 🇨🇳 sellout 💯,2020-10-22T23:59:57+00:00
"New Orleans, LA",Twitter for Android,"@BreitbartNews Bombshell revelation re worst political scandal in US history; exponentially greater than Watergate; Joe Biden, Benedict Arnold type character, exposed for selling USA to Chinese communist party &amp; complicit in CCP biological warfare attack on world  to defeat @realDonaldTrump",2020-10-22T23:59:57+00:00
Philly,Twitter for iPhone,People actually have a problem with this? He posted a video about Twitter censoring the Hunter Biden NY Post story. Being against domestic election interference is controversial now I guess 🤷🏻‍♂️ https://t.co/MwOkukSbs5,2020-10-22T23:59:57+00:00
طرف ایران,Twitter Web App,"Vote for Trump means vote for a peaceful middle east, Vote for Biden means vote for another ISIS in place. #Iranians4Trump",2020-10-22T23:59:57+00:00
"Berlin, Germany",Twitter for Android,real busy rooting due Joe Biden. Who do you have working for you apart from Republicans? huh? https://t.co/LRwDH3z1Fm,2020-10-22T23:59:57+00:00
,Twitter for Android,"@usatodayDC #OBAMAGATE! List of officials who sought to 'unmask' Flynn released: Biden, Comey, Obama chief of staff among them https://t.co/PXSdahOXJv",2020-10-22T23:59:57+00:00
,Twitter for iPad,@meenaharris I feel so sorry for Biden. He has to listen to that crap for a couple of hours.,2020-10-22T23:59:56+00:00
,Twitter for Android,"@Timcast why can't biden just attack trumps policies as they should and say why theres are going to be better for the American people and the world ,I've never see so much hatred for one person and on top of that they got Hollywood and the press/news joining in.",2020-10-22T23:59:56+00:00
"Alabama, USA",Twitter for iPhone,"If you see something hovering around Biden it's not a fly, it's Hunter Biden allegations. And I want to know!! https://t.co/CJEriLkiuX",2020-10-22T23:59:56+00:00
,Twitter Web App,@cenkuygur @BernieSanders @HillaryClinton @BarackObama @JoeBiden I just want to get on and hope to see Biden elected. Feels like the post election jockeying is happening way too soon.,2020-10-22T23:59:56+00:00
,Twitter Web App,"When @seanhannity trained cameras on Joe Biden's home for several nights, he knew what he was doing. So did  @realdonaldtrump #TrumpIsNotAmerica   https://t.co/8uBgrh7Uzx",2020-10-22T23:59:56+00:00
"Chesapeake, VA",Twitter for iPhone,Why do the BAFOONS on the left keep saying Biden doesn’t have the China millions on his “tax returns” so he’s innocent. Nobody puts illegal $ down as income. That’s what makes them CRIMINALS! Do they really think we’re that stupid? #BidenCrimeFamiily #CorruptJoeBiden #ChinaJoe https://t.co/uv10ED92fu,2020-10-22T23:59:56+00:00
,Twitter Web App,@With_A_Whimper_ @SocialistMMA By voting for Biden to defeat Trump?,2020-10-22T23:59:56+00:00
,Twitter Web App,"FaceBook is far too biased with Their ""shadow banning"" and outright refusal to allow any anti-communist China posts. All Biden Family ties to communist CASH are SPIKED AS WELL. Sad no 1st Amendment with these billionaires.",2020-10-22T23:59:56+00:00
"Indianapolis, IN",Twitter for iPad,Owl bet Biden wins the debate by a landslide!  This barred owl was stuck in the grill of a car. He’s in my care until the morning.  He’s going to Providence Wildlife’s vet to be evaluated. https://t.co/e2wm1Zq0RJ,2020-10-22T23:59:56+00:00
Location - In Your Face,Twitter Web App,"Biden Says America Was NEVER GREAT, Trump Says America IS GREAT, This Is... https://t.co/LVdJK635iF via @YouTube",2020-10-22T23:59:56+00:00
"Asheville, NC",Twitter for iPhone,Bobulinski: Joe Biden claim he never talked business with son 'false'  https://t.co/4dGrcGaUsC,2020-10-22T23:59:55+00:00
,Twitter for Android,"@MaajidNawaz @nypost IF it's true... It can't be treason or pay-for-policy in 2017, when Joe Biden was not in office.",2020-10-22T23:59:55+00:00
"Lakeland, FL",Twitter for iPhone,[Details] Trump continued to throw unsubstantiated allegations at Biden and former President Obama — Stahl tried to explain: “This is ’#60Minutes' and we can’t put on things we can’t verify.”  Trump continued to criticize the media. #TrumpMeltdown  https://t.co/whXZGYR9Dd,2020-10-22T23:59:55+00:00
"New Jersey, USA",Twitter for Android,"@DonaldJTrumpJr @JoeBiden @realDonaldTrump Joe Biden should invite the 500 Saudis who rented rooms at Trump Hotels and never stayed there, and the CEO of the Chinese Bank where Trump has his secret bank account to tonight’s debate.",2020-10-22T23:59:55+00:00
,Twitter for iPad,@JoeBiden Biden we don’t want socialized medicine,2020-10-22T23:59:55+00:00
,Twitter for iPhone,Wild thing is 99% of y’all don’t even know that Biden story exists.,2020-10-22T23:59:55+00:00
,Twitter Web App,@alohafreedomco @pdubdev Who? Biden?,2020-10-22T23:59:55+00:00
404,Twitter for iPhone,@josh_icloud @TeamTrump Biden is a criminal.,2020-10-22T23:59:55+00:00
