user_country,source,content,date
United States,Twitter for Android,A report by conservative  election strategists suggests  swing voters have turned against .@realDonaldTrump because of his coronavirus response: https://t.co/OutC0oHaU3,2020-10-22T23:59:59+00:00
Blue Dot in a Red State ,Twitter for iPhone,"Like the American Revolution, this election will be a shot heard round the world!  We will shock the world, when we rock the vote!  It’s time to put fear behind &amp; get this done!  #VoteBidenHarris to lead the world  #wtp2020 @wtp__2020  #wtp515 https://t.co/gBWeibrL2H",2020-10-22T23:59:59+00:00
,Twitter for iPhone,"@LT_FM @realDonaldTrump Perhaps nothing.   There is only one way to prove what happens Nov 3rd.  And that’s to see what happens Nov 3rd.    Anything else is a guess, educated or otherwise.  It’s science, sure.  But there’s only one election and its results can only be known afterwards.",2020-10-22T23:59:59+00:00
A blue house in a red state,Twitter for iPhone,"One of my father's gun-and-knife buddies, not known for raging liberalism, put a new election message on his deuce and a half in Iowa: https://t.co/GMKs50J6wb",2020-10-22T23:59:58+00:00
,Twitter for iPad,"Hot take: the longer this Biden scandal goes on, the less likely people will be to cheat in the election.  Some may view the risk of committing voter fraud low, if your candidate is going to win and control the DOJ. Will people now risk jail time for Biden?",2020-10-22T23:59:57+00:00
Philly,Twitter for iPhone,People actually have a problem with this? He posted a video about Twitter censoring the Hunter Biden NY Post story. Being against domestic election interference is controversial now I guess 🤷🏻‍♂️ https://t.co/MwOkukSbs5,2020-10-22T23:59:57+00:00
Twitter ,Twitter Web App,"See ehn for that 2023 election, if you know say you be thug, abeg no near my pooling booth cos we go engage you like marriage and na death go do you part.  Signed Angry nigerian youth",2020-10-22T23:59:57+00:00
,Twitter Web App,@cenkuygur @BernieSanders @HillaryClinton @BarackObama @JoeBiden I just want to get on and hope to see Biden elected. Feels like the post election jockeying is happening way too soon.,2020-10-22T23:59:56+00:00
✨💙👑💙✨,Twitter for Android,I ask the elites and political forces: Where are you standing?Do you want anything but freedom and the rule of the people over the people?Do you know any other way than to work together to take back our country from the devil? Today is election day!  #BBCHardTalkRezaPahlavi,2020-10-22T23:59:55+00:00
,Twitter Web App,@Scotus So what importance does election day have anymore if we are going to count votes after election day? The never ending election?,2020-10-22T23:59:54+00:00
"Boston, MA",Twitter for iPhone,@GrahamBlog @NikkiHaley @LindseyGrahamSC @thestate @postandcourier Graham is pushing thru a SCOTUS seat to END YOUR HEALTHCARE &amp; coverage for pre existing conditions.He &amp; MCConnell are trying to STEAL the presidential election. Refuses To approve Covid Aid while YOU struggle. #VoteHimOut #CorruptGOP,2020-10-22T23:59:54+00:00
"Texas, USA",Twitter Web App,"I would also add that while this is a novel and seemingly valid method of voting, it's an odd time for Harris County to test the limits of a Republican Party already hellbent on suppressing voter turnout in a contentious presidential election.",2020-10-22T23:59:53+00:00
"Boston, MA",Twitter for iPhone,"I think I the best case scenario for the country. Would be for Biden to Cary Florida on election night. Because other battleground states could take days and weeks. If Biden wins Florida we can basically call it at that point. If trump carries it, it’ll be a lot closer.",2020-10-22T23:59:53+00:00
USA,Twitter for iPhone,"@thebradfordfile All, but election fraud won’t show it",2020-10-22T23:59:53+00:00
"Boston, MA",Sprinklr,"""To make it through the election season without a robust discussion of immigration priorities and policies would be a grave mistake...""  #BULawProf @sshermanstokes writes in @thehill about the importance of addressing immigration during the debate. https://t.co/obOvnRQUJd",2020-10-22T23:59:53+00:00
limbo,Twitter for Android,"Texas is the biggest state in this election to date. In the early votes, twice more are for Democrats than for Republicans (hence voting suppression). (I wish there was a map comparing percentage of early voters to the population rather than absolute numbers.) https://t.co/n7AtTE9z1M",2020-10-22T23:59:51+00:00
"Columbus, OH",Twitter Web App,@DavidPepper i agree... and lets remember that election security bills were passed by the US HOUSE and mitch has left those bills sitting on his desk for almost 2 yrs and wont put them on the SENATE floor for a vote... this is also on GOP,2020-10-22T23:59:51+00:00
Coordinates Unknown,Twitter for iPhone,"@johnnicolay @johncusack @ZettoMartensen @TAPSTRIMEDIA @SenSanders @JoeBiden @HillaryClinton Facts: Bernie endorsed @HillaryClinton on July 12, 2016 -2 weeks before the convention. He campaigned with her at 39 events -way before the Election. So that‘s not a sore loser delaying support- it‘s a myth that Democrats tell themselves that often gets fueled by Republicans.  👀 https://t.co/aVl8ct1FQX",2020-10-22T23:59:50+00:00
,Twitter for iPhone,@L0LZzZzZzZzZz That’s twitter censoring before the election,2020-10-22T23:59:49+00:00
USA,Twitter Web App,@13WHAM He probably got a job working at the polls too with his friend Taequon Rivera.  After the election e we be a part of the mayors staff,2020-10-22T23:59:49+00:00
,Twitter for iPhone,Trump Admits He Hopes Obamacare Ends—but Won’t Unveil Replacement Until After Election #SmartNews  https://t.co/sFrqDmDhMF,2020-10-22T23:59:49+00:00
"Seattle, WA",Twitter for Android,"Also, ignore #RudyGiuliani hands on his privates in a room with a girl he assumes to be 15years old.  Instead let's talk about an announcement into election interference to the detriment of Trump.  Distraction with a dash of backwards from the obvious. https://t.co/7fmgLzBIVc",2020-10-22T23:59:48+00:00
USA,Twitter for iPad,I literally laughed my ass off at the TV when I heard some idiot trying to defend Joe Biden because it wasn’t reported on his tax returns. People are stupid and this election is a stupidity test. If you fail the test then you’re a loser and I don’t want to know you. https://t.co/529GKIME8n,2020-10-22T23:59:48+00:00
Australia,Twitter Web App,"This election, United Workers members like Maree, Sean &amp; Amanda are backing candidates who will put Queenslanders first.   They know the Palaszczuk Labor Government has a plan to get us through this crisis, keeping us safe &amp; keeping us working.   #qldpol @TheQCU https://t.co/rfAyM1UDEj",2020-10-22T23:59:48+00:00
"Melbourne, Vic., Australia",Twitter Web App,"Russia Poses Greater Election Threat Than Iran, Many U.S. Officials Say https://t.co/MM36rT043q",2020-10-22T23:59:47+00:00
"Houston, TX",Twitter for Android,Because I've already voted I've decided to not watch the debate tonight and instead watch Purge: Election Year. Same vibes,2020-10-22T23:59:47+00:00
"Boston, MA",Twitter for iPhone,@GrahamBlog @LindseyGrahamSC @thestate @postandcourier Graham is pushing thru a SCOTUS seat to END YOUR HEALTHCARE &amp; coverage for pre existing conditions.He &amp; MCConnell are trying to STEAL the presidential election. Refuses To approve Covid Aid while YOU struggle. #VoteHimOut #CorruptGOP,2020-10-22T23:59:46+00:00
