user_country,source,content,date
"San Francisco, CA",Twitter Web App,Topics for tonight's #Debates2020:  Fighting COVID-19 American Families Race in America Climate Change National Security Leadership  #Vote2020 #vote,2020-10-22T23:59:03+00:00
"San Diego, CA",Twitter for iPhone,@voxdotcom Covid: Trump failed to lead &amp; people died.  American families: trump cheated on Melania Race in America: trump is a #RacistInChief Climate change: trump doesn’t believe in science  National Security: trump is a Russian 🤖  Leadership: trump hired all the best people. Now in jail,2020-10-22T23:57:33+00:00
,Twitter Web App,"Kristen Welker, moderator, has selected the topics.  1)Fighting COVID-19 2)American Families 3)Race in America 4)Climate Change 5)National Security 6)Leadership  The debate will start at 9:00 p.m. ET and run for 90 minutes.   https://t.co/UbwZBMgxvi",2020-10-22T23:57:02+00:00
,Twitter for Android,"And black women wonder why, in America, statistically they're the most likely of any race to be single. Read the thread. The inherent hatred of men is so strong in it, like damn. https://t.co/JhSyZ2vrz1",2020-10-22T23:56:50+00:00
,Twitter Web App,@NicoletteGlazer It would be nice if there could be a way to work it into a response on American families or race in America,2020-10-22T23:55:20+00:00
"Florida, USA",Twitter for iPhone,@matt84001253 @MarkRuffalo @prattprattpratt I’m a Brit living in Florida so my exposure to racism is very different to racism in America. I am still learning about American race history. that segregation was happening in America in my lifetime was a shock. I currently have a huge stack of books I’m using to educate myself.,2020-10-22T23:55:10+00:00
"Washington, D.C.",Twitter for iPhone,"The 6 topics for the final face-off between #Trump and #Biden: fighting #Covid19, American families, #race in America, #climatechange, national security, and #leadership. #Debate2020",2020-10-22T23:54:36+00:00
"Maryland, USA",Hopper HQ,"Monday, October 26, 2020 at 6 PM  Join Mia and the Restorative Justice Community Action for a discussion about race in America, racial bias, and creating long-term change through positive community relationships.  Register for Zoom: https://t.co/GKaeO7gBDe https://t.co/GpgbtWcX1n",2020-10-22T23:53:05+00:00
"East Coast, USA",Twitter Web App,"What topics has moderator Kristen Welker chosen to cover?   Fighting the coronavirus, American families, race in America, climate change, national security and leadership. https://t.co/9WrotiKBtC",2020-10-22T23:53:01+00:00
,Twitter Web App,"#Debate2020 #DebateTonight   Covid-19 American families Race in America Climate change National security Leadership  Wow they picked #trump's worst subjects #TrumpIsANationalDisgrace #TrumpIsPathetic   #trump ""I'd like to phone a friend, Joe Shapiro.""",2020-10-22T23:50:17+00:00
"salem, ma",Twitter for iPhone,"“that’s not me making everything about race, that’s racism being the foundation of every institution in America.” !!! https://t.co/MyBrOMXsVF",2020-10-22T23:45:22+00:00
"Washington, DC",Twitter Web App,"Topics for tonight's #PresidentialDebate2020: #Covid19, American families, #race in America, #ClimateChange, national security and #leadership https://t.co/vtjAES0Dy5",2020-10-22T23:43:30+00:00
,Twitter Web App,"The #PresidentialDebate2020 begins at 9 ET/6 PT. Do we want to see Trump act like a disturbed toddler? No. But do we want to gain hope from hearing Joe Biden's plans on #COVID19, the #climate, race in America &amp; leadership? YES!  No TV? livestream here: https://t.co/Zd7uW319te",2020-10-22T23:43:29+00:00
@Aster_CLK is my mom♥️,Twitter for iPhone,Kristen Welker chose Climate Change &amp; Race In America as the topics.,2020-10-22T23:41:44+00:00
"East Midlands, UK",Twitter for Android,"The topics will be Fighting Covid-19, American families, race in America, climate change, national security and leadership.  There are now just 12 days to the US election.",2020-10-22T23:38:39+00:00
,Twitter for Android,"@DonaldJTrumpJr BREAKING:  The Trump campaign has just sent a letter to the Commission on Presidential Debates, begging them not to ask questions about COVID-19, American Families, Race in America, Climate Change, National Security or Leadership. They only want question on Foreign Policy.",2020-10-22T23:36:18+00:00
"Jackson, MS",Twitter for iPhone,Final #PresidentialDebate2020 topics:  Fighting COVID-19 American Families Race in America Climate Change National Security Leadership  #Election2020 #vote   https://t.co/EGnXQwRH8e,2020-10-22T23:33:35+00:00
United States ,Twitter Web App,"The final #PresidentialDebate2020 topics are ""Fighting #COVID19,"" ""American Families,"" ""Race in America,"" ""Climate Change,"" ""National Security"" and ""Leadership."" Who will bring their A-game and no B.S? Are you #TeamTrump 🔥#TeamBiden ❄  or #TeamUndecided 🤷🏿‍♂️ #DonaldTrump #Biden https://t.co/OULY6twSAV",2020-10-22T23:31:54+00:00
,Twitter for iPhone,I genuinely hope there isn’t a race war. I hate the side I would genetically be placed with and that’s been a losing side since day one. The White race in America is fucked and they signed their death note back in 1619. Wack I gotta be apart of this.,2020-10-22T23:31:49+00:00
United Kingdom,Twitter Web App,"The six topics that Donald Trump and Joe Biden will debate on are: fighting Covid-19, American families, race in America, climate change, national security and leadership. Which topic are you interested in hearing about the most? #PresidentialDebate2020",2020-10-22T23:30:00+00:00
"New Hampshire, USA",Twitter for iPhone,"Tonight’s debate topics: race in America, climate change, leadership, covid-19. Really? Let’s talk about the Washington swamp and how to clean it up.",2020-10-22T23:29:25+00:00
"Coral Gables, FL",Twitter for Android,"Moderating the event is NBC's own @kwelkernbc. The topics for tonight's debate are: Fighting COVID-19, American Families,National Security, Leadership, Climate Change and Race in America. #PresidentialDebate2020",2020-10-22T23:26:37+00:00
,SocialFlow,The six topics for the final face-off between Trump and Biden:   – fighting Covid-19 – American families – race in America – climate change – national security – leadership  Here's how to watch: https://t.co/eoXd9g4U7l #Debates2020,2020-10-22T23:25:32+00:00
"Boston, MA",Twitter for iPhone,"We really can’t talk about ANY issue in America without talking about how it disproportionately impacts Black people. That’s not me making everything about race, that’s racism being the foundation of every institution in America. Argue with the wall.",2020-10-22T23:23:53+00:00
