user_country,source,content,date
"Charleston, SC",Twitter for iPhone,@RBReich The participation by any judge to be a part of an appointment to a Supreme Court bench seat in this way is confirmation that judge has no integrity.,2020-10-22T23:59:56+00:00
New Zealand,Twitter for iPhone,"@JohnCornyn Imagine after being a lawyer, an AG, a judge, and a senior member of the Senate, ending your career like this, manoeuvring to install an unqualified, inappropriate religious extremist to the Supreme Court so as to ensure that the Court is unrepresentative of the people. Disgrace.",2020-10-22T23:59:53+00:00
Texas,Twitter for Android,"Read and listen....over 7,000 lawyers OPPOSE Amy Barrett as supreme court justice. #ONEV1 https://t.co/Hs2soMqt7x",2020-10-22T23:59:49+00:00
"Pittsburgh, Pennsylvania",Twitter for iPhone,"Tell your senators you oppose Trump's Supreme Court nominee, who could have profound consequences and create a more ideological Supreme Court via @NRDC_AF https://t.co/r0ql7Bwi7d",2020-10-22T23:59:44+00:00
"Downeast Maine, USA",Twitter Web App,@SenatorCollins signed an Amicus brief asking the Supreme Court to abolish the ACA... so how is she a healthcare hero? She is just a healthcare hypocrite owned by #MoscowMitch &amp; #TraitorTrump... #mepolitics https://t.co/SZZ1quqIhG,2020-10-22T23:59:37+00:00
,Twitter for Android,"@cenkuygur If the Republicans broke the rules and didn't have a quorum with the Democrats, then does that mean Barrett won't legitimately be a Supreme Court judge and can be removed? Or rules can be broken with impunity?",2020-10-22T23:59:32+00:00
,Twitter for Android,Overnight Health Care: Trump says he hopes Supreme Court strikes down ObamaCare | FDA approves remdesivir as COVID-19 treatment | Dems threaten to subpoena HHS over allegations of political interference at CDC https://t.co/osFj0uHdd3,2020-10-22T23:59:27+00:00
,Twitter for iPhone,"Tell your senators you oppose Trump's Supreme Court nominee, who could have profound consequences and create a more ideological Supreme Court via @NRDC_AF https://t.co/ZIfKK8Vb7f",2020-10-22T23:59:26+00:00
The Spirit World💀,Twitter for Android,⚜#PELICANBRIEF  #SupremeCourtConfirmation #donaldrump #AmyComeyBarrett #AmyConeyBarrettIsUnfit #conspiracytrump #SUPREMECOURT #ConspiracyTheory #conspiracy #antoninscalia ⚜  Supreme Court Justice Antonin Scalia Found Dead in West Texas https://t.co/gDB4cfHMjp via @TexasTribune,2020-10-22T23:59:19+00:00
"Indian Country, Oklahoma",Twitter Web App,"Amy Coney Barrett Supreme Court nomination moves to full Senate, Dems boycott vote https://t.co/eIN8DR0joY via @nbcnews",2020-10-22T23:59:14+00:00
