user_country,source,content,date
,CQ Advocacy,Dear @kwelkernbc: Ask @realdonaldtrump &amp; @JoeBiden how they would stop the brutal bombardment of Armenian civilians in #Artsakh by Azerbaijan and its Turkish/ISIS allies. #SanctionTurkey #SanctionAzerbaijan,2020-10-22T23:59:59+00:00
"Queensland, Australia",Twitter for iPad,Bonus episode this week as Ollie introduces James to the fabulous #AmericaIfYoureListening by the brilliant @MatthewBevan from @RadioNational #MBS @MbSofKSA @JoeBiden #2020Election #Massshooting @Official_KJU @jacindaardern @NRA #BLM @realDonaldTrump  https://t.co/dO0zi35hX2,2020-10-22T23:59:59+00:00
,Twitter Web App,".@POTUS .@realDonaldTrump Sir, fyi:  Italy Did Everything Fauci Recommends. Now, They Have Near Record-Breaking Virus Numbers https://t.co/ciL6jW6Daj",2020-10-22T23:59:59+00:00
"Orange County, California USA",Twitter for iPad,"@realDonaldTrump @realDonaldTrump  #SuburbanWomen  I realize I don’t speak for all suburban women, but after listening to a video on one-issue voters, reading more tweets, &amp; reflecting upon the division in our country...it felt good to write this down. #WhatSurburbanWomenWant https://t.co/YI4cVpugWd",2020-10-22T23:59:59+00:00
Michigan,Twitter for iPhone,@DonaldJTrumpJr @JoeBiden @realDonaldTrump 🥱🥱🥱 Reruns of 2016.,2020-10-22T23:59:59+00:00
NYC,Twitter for iPad,I’m watching the debate tonight not to learn about policies but to watch Trump’s face get red and explode when they turn on the mute button.,2020-10-22T23:59:59+00:00
,Twitter for Android,@blah69942620 @lillithashworth @LilithLovett Except all the wokes follow Trump etc  Also: https://t.co/gmAOT5LKVQ,2020-10-22T23:59:59+00:00
United States,Twitter for Android,A report by conservative  election strategists suggests  swing voters have turned against .@realDonaldTrump because of his coronavirus response: https://t.co/OutC0oHaU3,2020-10-22T23:59:59+00:00
Portland,Twitter Web App,"I am also hoping for at least one more ""shut up"" (or something similar) from #Biden and that moderator Kristen Welker cuts #Trump's mic at least once.  #Debates2020",2020-10-22T23:59:59+00:00
The Emerald Triangle ,Twitter for iPhone,@KLoeffler @RyanAFournier @realDonaldTrump They are all up to neck including Director Wray! https://t.co/Y2Z6mTC51y,2020-10-22T23:59:59+00:00
,Twitter Web App,@ProjectLincoln We have the best President ever. I will pray for you to get smarter. Trump 2020!!!,2020-10-22T23:59:59+00:00
,Twitter for iPad,maybe if trump stanned loona...#TrumpIsPathetic https://t.co/kGrqlysxMK,2020-10-22T23:59:59+00:00
,Twitter Web App,@KimStrassel @DevinNunes I wish you Trump supporters would make your minds.... The media is either the enemy of the people or are they NOT the enemy?? You folks flip Flop so much!!,2020-10-22T23:59:59+00:00
,CQ Advocacy,@whitehouse @realDonaldTrump @VP and @SecPompeo - stand with Christians Armenians as they defend against attacks by #Azerbaijan and its Turkish/ISIS allies. #RecognizeArtsakh #SanctionAzerbaijan,2020-10-22T23:59:59+00:00
,Twitter for iPhone,@TrumpWarRoom Trump grabbed women by the pussy’s not to long ago.,2020-10-22T23:59:59+00:00
