user_country,source,content,date
"North Dakota, USA",Twitter for iPhone,"@Kenny_Wallace Hey Herm,  are mods your favorite dirt car?   Have you ran Late models much in the past? My personal favorite is LM.  But I like almost all dirt cars.",2020-10-22T23:59:46+00:00
Los Angeles,Twitter Web App,"I really want Rachel Maddow, Joy Reid, and Nicole Wallace to discuss and evaluate my actions at the end of every day. I feel like I would get my shit together so much quicker. #DebateTonight",2020-10-22T23:59:38+00:00
North America,Twitter for iPad,Can someone tell that idiot Chris Wallace that Biden’s tax statements are irrelevant. Criminals don’t pay tax on ill-gotten financial gains. That money will be laundered and enter his account disguised as something else. It may not even enter his account at all.,2020-10-22T23:59:29+00:00
Attica Prison ,Twitter for iPhone,"@PeterHo88311033 @RantingRon716 @SalernoSteve @Shermanbowler24 @jtvan44 They looks like shit. DL looks small. LBs without Milano are awful, safeties look slow  I do still like our corners but need Wallace healthy",2020-10-22T23:59:28+00:00
"Mesquite, TX",Twitter for iPhone,I hope this isn’t in relations to the George Wallace segregation speech....but yes #EndSARS https://t.co/0nwRDCMwB5,2020-10-22T23:59:27+00:00
RJ • cpx maré,Twitter for Android,John Wallace 😡 Wallace 🙄 John John 🥰 JH ❤ https://t.co/hBCCRQze6Z,2020-10-22T23:59:16+00:00
,TweetDeck,"#NYGvsPHI Report:  OUT:  #Giants: Jackson Barton, C.J. Board, Adrian Colbert, Darnay Holmes, RJ McIntosh, Jabaal Sheard, Eric Tomlinson  #Eagles: Jack Driscoll, Malik Jackson, Alshon Jeffery, Miles Sanders, Nate Sudfeld, K'Von Wallace, Quez Watkins  #FlyEaglesFly #TogetherBlue",2020-10-22T23:59:14+00:00
Jersey Strong!,Twitter for iPhone,@Kenny_Wallace Oh she’s a beauty Clarke,2020-10-22T23:58:31+00:00
,Twitter for Android,"@RealMikeWayne @KingJosiah54 @marlon_humphrey Guys like Shaq,Ewing,Olajuwon, Mutombo, Mourning,Robinson,Wallace  kills a guy like AD(best ofensive center of todays era) now is easy to score and made assist.",2020-10-22T23:58:27+00:00
,Twitter for iPhone,"Yeh, so Donnie Deutsche's great prediction on Nicolle Wallace was based on common knowledge in ""in"" circles. How about actually reporting it that way Donnie? @DonnieDeutsch @NicolleDWallace https://t.co/DNeJpQvUEe",2020-10-22T23:58:13+00:00
,Twitter for iPhone,"Geez, @FoxNews keeps trying to slam @donnabrazile down our throats!  CLICK!!!!  Wallace or @donnabrazile and I’m gone quickly! Hello @NewsmaxNow or @OANN",2020-10-22T23:58:13+00:00
Northern Ireland (and Spain),Twitter Web App,"I am a good methodical gallery and museum goer. I went to the LSE and lived near Marble Arch. Over the course of my undergraduate degree 97 - 00 I took in all of the British Museum, National Gallery, National Portrait Gallery, Wallace Collection room by room.",2020-10-22T23:58:08+00:00
Las Vegas,Twitter for iPhone,Inactives for #FlyEaglesFly   7 QB Nate Sudfeld 17 WR Alshon Jeffery 26 RB Miles Sanders 42 S K’Von Wallace 63 OL Jack Driscoll 80 WR Quez Watkins 97 DT Malik Jackson https://t.co/tBkZPpJMpS,2020-10-22T23:58:08+00:00
,Twitter Web App,"Wallace and his peers have officially taken the role and the rationale of Galileo's inquisitors, refusing to look through Galileo's telescopes at the evidence, because they know in theory what the sky must look like. https://t.co/kYKvy1O1HQ",2020-10-22T23:57:47+00:00
"Roanoke, VA",Twitter Web App,Motor Mile Speedway &amp; Dragway Signs Deal with Rusty Wallace Racing Experience @motormile @RustyWallace  https://t.co/iNypuieBIO,2020-10-22T23:57:47+00:00
"South Carolina, USA",Twitter for iPad,@donnabrazile and the Muppet Chris Wallace should get married.,2020-10-22T23:57:46+00:00
"Knoxville, TN",Twitter Web App,Chris Wallace Blocks Biden Smear: ‘We Would Have Seen The Fruits Of That Investigation By Now’ | @crooksandliars https://t.co/lTt7NGlfn9,2020-10-22T23:57:36+00:00
,Twitter for Android,"This article headliner speaks for itself. 🇨🇳  Open SmartNews and read Chris Wallace Warns Trump: Be ‘Careful’ Attacking Hunter at Debate or Biden Will Bring Up Your Secret Chinese Bank Account here: https://t.co/bgdhBvMBHS  To read it on the web, tap here: https://t.co/irE3UZZfz6",2020-10-22T23:57:32+00:00
United States,Twitter for iPad,"@cvpayne Sorry Charles, I like you but I don’t like Cavuto and Chris Wallace so I would be watching in another channel. You are a such a good man.",2020-10-22T23:57:28+00:00
Bahamas,Twitter for iPhone,@Nikieva_Wallace LMFAOOOO,2020-10-22T23:57:10+00:00
"Doral, FL",Twitter for iPhone,@TheKMold @JBryanEure @BernardKerik @BretBaier @FoxNews Do you think Chris Wallace is sliding into his dotage? Something is going on up there.,2020-10-22T23:57:02+00:00
"Indiana, USA",Twitter for iPhone,@marshallpruett @merrickspeed @jordanmcmillan @IndyLights I can’t believe William Wallace lied to us https://t.co/UFHcaQ89yr,2020-10-22T23:57:00+00:00
Bahamas,Twitter for iPhone,@Nikieva_Wallace Def gotta try this now. Thanks!,2020-10-22T23:56:51+00:00
Northeast FL,Twitter for iPhone,@AnnaWal45226135 @cjtruth Will never watch C Wallace again - he has embarrassed the legacy of his father.,2020-10-22T23:56:50+00:00
"New York, USA",Twitter for iPhone,"Biden camp using bias debate moderator Chris Wallace as a shield. I didn’t know Wallace was their official surrogate, except for his flagrant bias at the debate... https://t.co/8Q7WgjMN3I",2020-10-22T23:56:48+00:00
,Twitter Web App,"@jaketapper @gtconway3d Chris Wallace, Savanah Guthrie, Leslie Stahl, Lester Holt, Kristin Welker, etc. ALL biased, exhibit hatred, doctor videos. Why don’t Trump loyalists see what a wimp, cowardly baby he is? Takes his ball home and pouts, exhibits childish weakness.",2020-10-22T23:56:42+00:00
Close enough,Twitter for iPhone,@jfwong’s old alexandra wallace song appearing in my anthro reading. Lyrics and all. Thats a throwback that i forgot about,2020-10-22T23:56:33+00:00
Oklahoma,Twitter for iPad,"@60Minutes Let me know when Lesley Stahl has her graduation ceremony from kindergarten, I’ll send her a card.   She behaved like a 5 year old.  Next thing you need to do is hire Chris Wallace and your demise will be complete. South Park covers news better",2020-10-22T23:56:18+00:00
"Boston, MA",Twitter for iPhone,Was it Chris Wallace or Chris Matthews who got a tingle up their leg when Obama spoke?  #Debates2020,2020-10-22T23:56:18+00:00
Jersey Strong!,Twitter for iPhone,@Kenny_Wallace Oh they are just precious!!,2020-10-22T23:56:15+00:00
,Twitter Web App,"@tonioromero96 @Nitam_naayahs @nowthisnews But the interesting thing to me there is, Wallace is all but  looking for approval from Trump for asking Biden a tough question, so eager to please.  Maybe eventually I'll read the rest, but I don't see any evidence so far of softball questions.",2020-10-22T23:56:11+00:00
,Twitter for iPhone,@IanDunt Wasn’t that revealed in the first Wallace &amp; Grommit film?,2020-10-22T23:56:07+00:00
,Twitter for iPhone,"Two of the Three Stooges Martha, Bret - add Mike, I mean Chris Wallace  #ThreeStooges https://t.co/EiOvatICuc",2020-10-22T23:56:07+00:00
,Twitter for Android,Calling BS Mr Wallace! https://t.co/RxClBvkN6c,2020-10-22T23:55:59+00:00
Dutton Ranch,Twitter Web App,@Kenny_Wallace Sweetest thing I've seen today.,2020-10-22T23:55:49+00:00
"Tusculum, TN",Twitter for iPhone,@FoxNews is Chris “FAKENEWS” Wallace in Biden’s basement?,2020-10-22T23:55:46+00:00
"The Hellmouth, apparently.   ",Twitter for iPhone,@CrankyBelle Wallace should have @MeetThePress if @NBCNews was serious about the legacy of the show.,2020-10-22T23:55:45+00:00
"Vermont, USA",Twitter for iPhone,@donwinslow @wolfblitzer There has been a few shady comments. I no longer follow him. Gotta watch for them flip floppy ones.. just saying. Never watched him really Nicole Wallace was on.,2020-10-22T23:55:08+00:00
The Bahamas,Twitter for iPhone,@Stefan_Urquell It did actually! I’m not a fan of sweet liquor so the stoli gave it a nice balance. It still had a kick but not too much !,2020-10-22T23:55:03+00:00
,Twitter for Android,@HSRetoucher @QuacksAnonymous @BanditQueen25 @ProudQtard @Neo081001 @FREEDPeacock10 @2SharksOnLand @TotalweirdoT @BruceVeloor @JhonTruth @DanAuito @BeJay31688996 @PetahJane @edav38 @DianAandDennis @IAkining @selah9191 @EpphiliaKennedy @SpainFit @michael_gehler @boostmyfuel @BobRoon12515016 @whitebunnyq @GoosesOtherHalf @Panda_Code2 @MAGNETGLOVE @QuiXoTrY9 @jfkjrfan @TrueNPatriot @QBEARPATRIOT @VincentCrypt46 @bigwilallen @ann_nette @IiGoose thats the Wallace guy. wait what! holy s......💯💯💯💥💥💥💥💥💥💥😡😡😡😡😡😡😡😡😡need to go pray and calm down. Lord help me...,2020-10-22T23:54:55+00:00
,Twitter Web App,"""The president told Chris Wallace in a Fox News Interview on July 19: “We’re signing a health care plan within two weeks, a full and complete health care plan...” https://t.co/6Eo3F5GlDC",2020-10-22T23:54:41+00:00
,Twitter for Android,@Kenny_Wallace Hi Back Home!,2020-10-22T23:54:26+00:00
,Twitter for Android,@IngrahamAngle Chris wallace or Wayne,2020-10-22T23:54:14+00:00
The Big Rock Candy Mountain,Twitter Web App,"@tahDeetz @60Minutes They haven't had any honor since Mike Wallace, Morley Safer, and Andy Rooney were all on the show.",2020-10-22T23:54:04+00:00
,Twitter Web App,"#Debates2020  Wallace uses 30 second to ask question, ask the SAME question 4 times, Wallace &amp; Biden interrupt every 10 seconds, President Trump had to start interrupt to be heard over BOTH OF THEM https://t.co/08ZcILqQBl",2020-10-22T23:54:00+00:00
